node_id,in_degree,out_degree,total_degree
1001,10,83,93
1002,43,36,79
1003,15,1,16
1004,1,1,2
1005,1,21,22
1006,1,1,2
1007,0,4,4
1008,2,6,8
1009,1,1,2
1010,12,5,17
1011,4,20,24
1012,37,10,47
1013,16,11,27
1014,3,8,11
1015,0,1,1
1016,8,19,27
1017,5,10,15
1018,10,18,28
1019,6,9,15
1020,0,1,1
1021,2,15,17
1022,1,3,4
1023,9,6,15
1024,27,20,47
1025,17,39,56
1026,0,6,6
1027,55,19,74
1028,1,6,7
1029,7,33,40
1030,0,4,4
1031,5,3,8
1032,36,6,42
1033,111,63,174
1034,0,4,4
1035,53,9,62
1036,11,16,27
1037,32,22,54
1038,1,2,3
1039,5,2,7
1040,1,1,2
1041,32,47,79
1042,2,12,14
1044,3,16,19
1045,1,3,4
1046,6,7,13
1047,3,9,12
1048,2,4,6
1049,11,29,40
1050,6,2,8
1051,2,24,26
1052,0,2,2
1053,109,18,127
1054,8,45,53
1055,27,32,59
1056,23,12,35
1057,2,27,29
1060,2,7,9
1061,1,2,3
1062,7,12,19
1063,16,16,32
1064,2,13,15
1065,4,17,21
1066,12,35,47
1067,2,9,11
1068,21,24,45
1069,0,1,1
1070,2,10,12
1071,96,20,116
1072,2,5,7
1073,6,7,13
1074,4,6,10
1075,0,2,2
1076,1,15,16
1077,6,59,65
1080,0,11,11
1081,1,13,14
1082,42,33,75
1083,13,64,77
1084,91,8,99
1085,8,12,20
1086,3,2,5
1087,0,2,2
1088,2,1,3
1089,16,27,43
1090,4,10,14
1091,1,4,5
1092,43,11,54
1093,2,30,32
1094,0,13,13
1095,1,0,1
1096,1,2,3
1097,4,9,13
1098,3,22,25
1100,2,3,5
1101,2,16,18
1102,1,1,2
1103,30,33,63
1105,7,8,15
1106,8,18,26
1107,20,8,28
1108,1,6,7
1109,3,24,27
1110,1,22,23
1111,17,20,37
1112,16,8,24
1113,148,0,148
1114,3,19,22
1115,1,1,2
1116,0,1,1
1117,0,4,4
1118,10,3,13
1119,1,1,2
1121,1,16,17
1122,24,32,56
1123,9,23,32
1124,6,26,32
1125,2,28,30
1126,16,18,34
